filename,x_step,y_step,x_absolute,y_absolute
181019_raft1_A01_G001_0001.oir,1,1,1183.73376,1183.73376
181019_raft1_A01_G001_0002.oir,2,1,2367.46752,1183.73376
181019_raft1_A01_G001_0003.oir,3,1,3551.20128,1183.73376
181019_raft1_A01_G001_0004.oir,4,1,4734.93504,1183.73376
181019_raft1_A01_G001_0005.oir,5,1,5918.6688,1183.73376
181019_raft1_A01_G001_0006.oir,6,1,7102.40256,1183.73376
181019_raft1_A01_G001_0007.oir,7,1,8286.136320000001,1183.73376
181019_raft1_A01_G001_0008.oir,8,1,9469.87008,1183.73376
181019_raft1_A01_G001_0009.oir,9,1,10653.60384,1183.73376
181019_raft1_A01_G001_0010.oir,10,1,11837.3376,1183.73376
181019_raft1_A01_G001_0011.oir,11,1,13021.071360000002,1183.73376
181019_raft1_A01_G001_0012.oir,12,1,14204.80512,1183.73376
181019_raft1_A01_G001_0013.oir,13,1,15388.53888,1183.73376
181019_raft1_A01_G001_0014.oir,14,1,16572.272640000003,1183.73376
181019_raft1_A01_G001_0015.oir,15,1,17756.006400000002,1183.73376
181019_raft1_A01_G001_0016.oir,16,1,18939.74016,1183.73376
181019_raft1_A01_G001_0017.oir,17,1,20123.47392,1183.73376
181019_raft1_A01_G001_0018.oir,18,1,21307.20768,1183.73376
181019_raft1_A01_G001_0019.oir,18,2,21307.20768,2367.46752
181019_raft1_A01_G001_0020.oir,17,2,20123.47392,2367.46752
181019_raft1_A01_G001_0021.oir,16,2,18939.74016,2367.46752
181019_raft1_A01_G001_0022.oir,15,2,17756.006400000002,2367.46752
181019_raft1_A01_G001_0023.oir,14,2,16572.272640000003,2367.46752
181019_raft1_A01_G001_0024.oir,13,2,15388.53888,2367.46752
181019_raft1_A01_G001_0025.oir,12,2,14204.80512,2367.46752
181019_raft1_A01_G001_0026.oir,11,2,13021.071360000002,2367.46752
181019_raft1_A01_G001_0027.oir,10,2,11837.3376,2367.46752
181019_raft1_A01_G001_0028.oir,9,2,10653.60384,2367.46752
181019_raft1_A01_G001_0029.oir,8,2,9469.87008,2367.46752
181019_raft1_A01_G001_0030.oir,7,2,8286.136320000001,2367.46752
181019_raft1_A01_G001_0031.oir,6,2,7102.40256,2367.46752
181019_raft1_A01_G001_0032.oir,5,2,5918.6688,2367.46752
181019_raft1_A01_G001_0033.oir,4,2,4734.93504,2367.46752
